id,name,file,x0,y0,x1,y1,width,height,area_px
1,logo_hirameki_relay,components/001_logo_hirameki_relay.png,13,3,586,149,573,146,47610
2,icon_lightbulb,components/002_icon_lightbulb.png,605,10,687,133,82,123,4239
3,icon_baton_pink,components/003_icon_baton_pink.png,828,29,929,134,101,105,3243
4,icon_gear,components/004_icon_gear.png,1220,31,1311,123,91,92,3991
5,icon_chat_bubble,components/005_icon_chat_bubble.png,1094,32,1194,123,100,91,4397
6,icon_heart,components/006_icon_heart.png,733,35,827,122,94,87,3613
7,icon_people,components/007_icon_people.png,963,35,1065,122,102,87,4411
8,icon_crown,components/008_icon_crown.png,729,130,832,221,103,91,4078
9,icon_trophy,components/009_icon_trophy.png,826,130,934,229,108,99,4781
10,icon_medal_3,components/010_icon_medal_3.png,937,130,1011,229,74,99,3574
11,decor_sparkle_yellow_large,components/011_decor_sparkle_yellow_large.png,1027,130,1088,201,61,71,994
12,decor_confetti_blue,components/012_decor_confetti_blue.png,1278,131,1322,179,44,48,495
13,decor_confetti_yellow_diamond,components/013_decor_confetti_yellow_diamond.png,1333,130,1380,179,47,49,461
14,decor_dot_yellow,components/014_decor_dot_yellow.png,1190,140,1228,179,38,39,276
15,decor_star_pink,components/015_decor_star_pink.png,1107,150,1170,216,63,66,1241
16,mascot_bunny,components/016_mascot_bunny.png,149,153,293,305,144,152,10777
17,decor_confetti_pink_curve,components/017_decor_confetti_pink_curve.png,1365,161,1412,214,47,53,557
18,mascot_ghost,components/018_mascot_ghost.png,10,166,160,304,150,138,10932
19,mascot_cat,components/019_mascot_cat.png,280,169,409,302,129,133,8737
20,decor_star_blue,components/020_decor_star_blue.png,1205,174,1266,234,61,60,1058
21,mascot_penguin,components/021_mascot_penguin.png,399,176,525,301,126,125,8426
22,decor_dot_purple,components/022_decor_dot_purple.png,1307,178,1348,219,41,41,354
23,mascot_frog,components/023_mascot_frog.png,599,182,700,302,101,120,6547
24,decor_sparkle_pink_small,components/024_decor_sparkle_pink_small.png,1072,185,1122,236,50,51,532
25,mascot_chick,components/025_mascot_chick.png,505,186,610,302,105,116,6129
